Study,Substudy,Beta,Variance,Author,Year,Citation,DOI,g_sp,Duration,mean_density
1,1,0.033,3e-5,Chua,1979,Chua (1979). Relative growth and production⊦. *Marine Biology*.,,Epinephelus_malabaricus,240,93.33333333
2,5,12.424,134,"Kneib, RT",1981,"Kneib, RT (1981). Size-specific effects of density on the growth, fecundity and mortality of the fish fundulus-heteroclitus in an inter-tidal salt-marsh. *Marine Ecology Progress Series*.",10.3354/meps006203,Fundulus_heteroclitus,14,2.3333333333333335
2,6,-5.485,51.5,"Kneib, RT",1981,"Kneib, RT (1981). Size-specific effects of density on the growth, fecundity and mortality of the fish fundulus-heteroclitus in an inter-tidal salt-marsh. *Marine Ecology Progress Series*.",10.3354/meps006203,Fundulus_heteroclitus,14,2.3333333333333335
2,7,136.727,980,"Kneib, RT",1981,"Kneib, RT (1981). Size-specific effects of density on the growth, fecundity and mortality of the fish fundulus-heteroclitus in an inter-tidal salt-marsh. *Marine Ecology Progress Series*.",10.3354/meps006203,Fundulus_heteroclitus,14,2.3333333333333335
3,8,3.111,1.85,"Doherty, PJ",1982,"Doherty, PJ (1982). Some effects of density on the juveniles of 2 species of tropical, territorial damselfish. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(82)90057-0,Pomacentrus_wardi,365,3.3333333333333335
4,9,392.929,1240,"Jones, GP",1984,"Jones, GP (1984). Population ecology of the temperate reef fish pseudolabrus-celidotus bloch and schneider (pisces, labridae) .2. Factors influencing adult density. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(84)90170-9,Notolabrus_celidotus,365,0.10374684107142856
5,10,-0.049,0.17,"Jones, GP",1987,"Jones, GP (1987). Competitive interactions among adults and juveniles in a coral-reef fish. *Ecology*.",10.2307/1939237,Pomacentrus_amboinensis,365,4.519774011333333
5,11,1.422,0.318,"Jones, GP",1987,"Jones, GP (1987). Competitive interactions among adults and juveniles in a coral-reef fish. *Ecology*.",10.2307/1939237,Pomacentrus_amboinensis,365,4.519774011333333
5,12,10.904,6.6,"Jones, GP",1987,"Jones, GP (1987). Competitive interactions among adults and juveniles in a coral-reef fish. *Ecology*.",10.2307/1939237,Pomacentrus_amboinensis,365,3.3898305083333335
5,13,-3.034,1.63,"Jones, GP",1987,"Jones, GP (1987). Competitive interactions among adults and juveniles in a coral-reef fish. *Ecology*.",10.2307/1939237,Pomacentrus_amboinensis,365,3.3898305083333335
6,14,1.919,0.3,"Jones, GP",1987,"Jones, GP (1987). Some interactions between residents and recruits in two coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",,Pomacentrus_amboinensis,365,4.519774011333333
6,15,0.022,1.8e-4,"Jones, GP",1987,"Jones, GP (1987). Some interactions between residents and recruits in two coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",,Dascyllus_aruanus,240,74.66666666666667
6,16,0,0.00973,"Jones, GP",1987,"Jones, GP (1987). Some interactions between residents and recruits in two coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",,Dascyllus_aruanus,240,74.66666666666667
7,17,2.847,0.422,"Jones, GP",1988,"Jones, GP (1988). Experimental evaluation of the effects of habitat structure and competitive interactions on the juveniles of 2 coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(88)90164-5,Dascyllus_aruanus,365,10.126582279666666
7,18,-0.566,3.07,"Jones, GP",1988,"Jones, GP (1988). Experimental evaluation of the effects of habitat structure and competitive interactions on the juveniles of 2 coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(88)90164-5,Dascyllus_aruanus,365,10.126582279666666
7,19,0.148,0.0501,"Jones, GP",1988,"Jones, GP (1988). Experimental evaluation of the effects of habitat structure and competitive interactions on the juveniles of 2 coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(88)90164-5,Pomacentrus_amboinensis,365,10.126582279666666
7,20,-1.883,0.117,"Jones, GP",1988,"Jones, GP (1988). Experimental evaluation of the effects of habitat structure and competitive interactions on the juveniles of 2 coral-reef fishes. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(88)90164-5,Pomacentrus_amboinensis,365,10.126582279666666
9,27,0.046,3.3e-4,"Forrester, GE",1990,"Forrester, GE (1990). Factors influencing the juvenile demography of a coral-reef fish. *Ecology*.",10.2307/1937576,Dascyllus_aruanus,300,60.846560843333336
9,28,0.174,9.1e-4,"Forrester, GE",1990,"Forrester, GE (1990). Factors influencing the juvenile demography of a coral-reef fish. *Ecology*.",10.2307/1937576,Dascyllus_aruanus,300,60.846560843333336
11,30,60.606,9.56,"Vonherbing, IH",1991,"Vonherbing, IH (1991). Spawning and recruitment of the bluehead wrasse thalassoma-bifasciatum in barbados, west-indies. *Marine Ecology Progress Series*.",,Thalassoma_bifasciatum,120,1.8139
13,49,190.909,48.4,"Anderson, TW",1994,"Anderson, TW (1994). Role of macroalgal structure in the distribution and abundance of a temperate reef fish. *Marine Ecology Progress Series*.",10.3354/meps113279,Brachyistius_frenatus,365,0.5916800222222223
15,52,51.532,117,"Forrester, GE",1995,"Forrester, GE (1995). Strong density-dependent survival and recruitment regulate the abundance of a coral-reef fish. *Oecologia*.",10.1007/BF00328615,Coryphopterus_glaucofraenum,75,3.975
15,53,26.27,55.8,"Forrester, GE",1995,"Forrester, GE (1995). Strong density-dependent survival and recruitment regulate the abundance of a coral-reef fish. *Oecologia*.",10.1007/BF00328615,Coryphopterus_glaucofraenum,75,3.0625
16,54,288.288,874743e14,"Tupper, M",1995,"Tupper, M (1995). Effects of conspecific density on settlement, growth and postsettlement survival of a temperate reef fish. *Journal Of Experimental Marine Biology And Ecology*.",10.1016/0022-0981(95)00058-Y,Tautogolabrus_adspersus,60,6.2
70,250,1.001,112817669400,"Schmitt, RJ",1996,"Schmitt, RJ (1996). Local-scale patterns of larval settlement in a planktivorous damselfish - do they predict recruitment?. *Marine And Freshwater Research*.",10.1071/MF9960449,Dascyllus_trimaculatus,1,330.1404853216667
18,57,230,2350,"Hixon, MA",1997,"Hixon, MA (1997). Synergistic predation, density dependence, and population regulation in marine fish. *Science*.",10.1126/science.277.5328.946,Chromis_cyanea,30,2.055555555625
