study_num,substudy_num,genus_species,n0_m2,nt_m2,t,Area/Plotna(m2),No.naPlots/point,Othernafactornaadjustment,pdf num-Alex,Notes
50,176,Coryphopterus glaucofraenum,NA,NA,NA,NA,NA,1,na,I can't locate substudy 176?-
8,21,Acanthurus bahianus,2.26,0.000226,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,2.03,0.000203,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,22,Acanthurus chirurgus,1.44,0.000144,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,1.35,0.00054,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,1.3,0.00013,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,25,Acanthurus chirurgus,1.24,0.01736,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,21,Acanthurus bahianus,1.21,0.05566,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,21,Acanthurus bahianus,0.85,0.0187,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,24,Acanthurus bahianus,0.85,0.0187,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,21,Acanthurus bahianus,0.81,0.000324,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
8,22,Acanthurus chirurgus,0.68,0.00952,2190,NA,1,1,10014,"CUMULATIVE, so won't be used.  Area of each plot was different (.15-.67 Ha).  Each reef was censused."
