unnamed,substudy_num,substudy_source,Alex_PAPER_ID,use_alex_craig,data.source..or.reason.for.exclusion.,data.on.recruit.on.recruit,data.on.older.fish.on.older.fish,Density.areal.units..or.can.be.converted.,Data.set.original..YES.Use.them.or.not.checked..No.use.data.from.another.paper...,is.the.initial.number..taken.at.a.point.in.time..SINGLE..but.this.might.be.multiple.settlement.events...or.is.an.cumulative.number..e.g...sum.settlers..over.every.day.of.summer...if.CUMULATIVE...then.what.is.the.time.scale.of.the.summation.,Number.of.Aggregrated.taxa.,Is good based on  criteria?,Fish Depleted or were Replaced?  Or do we take Beta directly from the paper.,estimation_approach,use_2024,Authors,Article.Title,Source.Title,Abstract,Times.Cited..WoS.Core,Times.Cited..All.Databases,Publication.Date,Publication.Year,Volume,Issue,Start.Page,End.Page,DOI,study_num,study,lat_deci,long_deci,journal,paired_pred,paired_substudy_num,conclusion,rawdata_for_analysis,alpha_2002,alpha_se_2002,beta_2002,beta_se_2002,var_alpha_2002,var_beta_2002,expt_obs,expt_obs_pairs,family,g_sp,trophic_status,trophic_level,habitat,geog_region_2,ocean,predators,age_start,size_start,size_start_units,SL_start
27,30,Fig8,9,yes,Fig 8,yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"VONHERBING, IH; HUNTE, W","SPAWNING AND RECRUITMENT OF THE BLUEHEAD WRASSE THALASSOMA-BIFASCIATUM IN BARBADOS, WEST-INDIES",MARINE ECOLOGY PROGRESS SERIES,"Spawning and recruitment periodicity and post-recruitment mortality were investigated in the bluehead wrasse Thalassoma bifasciatum on fringing reefs on the west coast of Barbados by direct census and by otolith dating techniques. Spawning was seasonal, occurring primarily between January and August. Recruitment was seasonal, and was significantly correlated with spawning with time lags of 1 and 2 mo. This is consistent with the 45 d (range 33 to 64 d) larval life of T. bifasciatum, and suggests that seasonal variation in spawning is the principal factor driving seasonal variation in recruitment. Spawning frequency was higher around new and full moons (spring tides) than around first and last quarters (neap tides), but recruitment did not differ significantly with lunar phase. Daily spawning was more frequent during ebb tides than flood tides, with peak spawning occurring near the beginning of ebb tide. Surface currents on the study reefs were offshore on 96 % of the 94 occasions monitored, regardless of tidal phase. Surface currents at ebb tide were faster than at flood tide, and ebb tide currents were faster during spring tides than neap tides. The data suggest that both daily and lunar spawning cycles are influenced by daily and lunar variation in the speed of offshore currents. Population densities on all reefs had returned to pre-recruitment levels within 3 mo of the end of seasonal recruitment. Monthly mortality (% dying per month) on each study reef during the post-recruitment period was correlated with population density on that reef at the start of the month. This may suggest that post-recruitment mortality is density-dependent, but it could result from the covariance of density with age. However, the mean monthly mortality rate over the post-recruitment period on each reef was significantly correlated with recruitment strength to that reef. This suggests that post-recruitment mortality is density-dependent, and hence that post-recruitment processes influence the population dynamics of bluehead wrasse in Barbados.",52,52,MAY,1991,72,2-Jan,49,58,NA,11,Hunt von Herbing and Hunte,13.194435,-59.641941,MEPS,unpaired,30,NA,yes,NA,NA,NA,NA,NA,NA,Obs,,Labridae,Thalassoma_bifasciatum,carnivore,3.49,reef,LesserAntilles,Caribbean,present,NA,40,NA,40
27,31,Fig9,9,yes,Fig 9,yes,no,Yes,NO (same data was used to derive Fig 8),SINGLE,1,Yes,Depleted,Binomial,no,"VONHERBING, IH; HUNTE, W","SPAWNING AND RECRUITMENT OF THE BLUEHEAD WRASSE THALASSOMA-BIFASCIATUM IN BARBADOS, WEST-INDIES",MARINE ECOLOGY PROGRESS SERIES,"Spawning and recruitment periodicity and post-recruitment mortality were investigated in the bluehead wrasse Thalassoma bifasciatum on fringing reefs on the west coast of Barbados by direct census and by otolith dating techniques. Spawning was seasonal, occurring primarily between January and August. Recruitment was seasonal, and was significantly correlated with spawning with time lags of 1 and 2 mo. This is consistent with the 45 d (range 33 to 64 d) larval life of T. bifasciatum, and suggests that seasonal variation in spawning is the principal factor driving seasonal variation in recruitment. Spawning frequency was higher around new and full moons (spring tides) than around first and last quarters (neap tides), but recruitment did not differ significantly with lunar phase. Daily spawning was more frequent during ebb tides than flood tides, with peak spawning occurring near the beginning of ebb tide. Surface currents on the study reefs were offshore on 96 % of the 94 occasions monitored, regardless of tidal phase. Surface currents at ebb tide were faster than at flood tide, and ebb tide currents were faster during spring tides than neap tides. The data suggest that both daily and lunar spawning cycles are influenced by daily and lunar variation in the speed of offshore currents. Population densities on all reefs had returned to pre-recruitment levels within 3 mo of the end of seasonal recruitment. Monthly mortality (% dying per month) on each study reef during the post-recruitment period was correlated with population density on that reef at the start of the month. This may suggest that post-recruitment mortality is density-dependent, but it could result from the covariance of density with age. However, the mean monthly mortality rate over the post-recruitment period on each reef was significantly correlated with recruitment strength to that reef. This suggests that post-recruitment mortality is density-dependent, and hence that post-recruitment processes influence the population dynamics of bluehead wrasse in Barbados.",52,52,MAY,1991,72,2-Jan,49,58,NA,11,Hunt von Herbing and Hunte,13.194435,-59.641941,MEPS,unpaired,30,NA,yes,0,0,-0.00612,0.000491,0,2.41E-07,Obs,,Labridae,Thalassoma_bifasciatum,carnivore,3.49,reef,LesserAntilles,Caribbean,present,90,30,NA,30
48,52,Expt - art reefs,46,yes, Table 1 (and Fig. 2) give adult density dependence in gobies. Not early post-settlement.  Fig 5a is not appropriate b/c it's affect of adults on recruitment.,NO,yes,yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"FORRESTER, GE",STRONG DENSITY-DEPENDENT SURVIVAL AND RECRUITMENT REGULATE THE ABUNDANCE OF A CORAL-REEF FISH,OECOLOGIA,"Debate on the control of population dynamics in reef fishes has centred on whether patterns in abundance are determined by the supply of planktonic recruits, or by post-recruitment processes. Recruitment limitation implies little or no regulation of the reef-associated population, and is supported by several experimental studies that failed to detect density dependence. Previous manipulations of population density have, however, focused on juveniles, and there have been no tests for density-dependent interactions among adult reef fishes. I tested for population regulation in Coryphopterus glaucofraenum, a small, short-lived goby that is common in the Caribbean. Adult density was manipulated on artificial reefs and adults were also monitored on reefs where they varied in density naturally. Survival of adult gobies showed a strong inverse relationship with their initial density across a realistic range of densities. Individually marked gobies, however, grew at similar rates across all densities, suggesting that density-dependent survival was not associated with depressed growth, and so may result from predation or parasitism rather than from food shortage. Like adult survival, the accumulation of new recruits on reefs was also much lower at high adult densities than at low densities. Suppression of recruitment by adults may occur because adults cause either reduced larval settlement or reduced early post-settlement survival. In summary, this study has documented a previously unrecorded regulatory mechanism for reef fish populations (density-dependent adult mortality) and provided a particularly strong example of a well-established mechanism (density-dependent recruitment). In combination, these two compensatory mechanisms have the potential to strongly regulate the abundance of this species, and rule out the control of abundance by the supply of recruits.",133,134,AUG,1995,103,3,275,282,10.1007/BF00328615,15,Forrester (1995),18.46372558,-64.56933099,Oecologia,unpaired,52,DD,yes,-0.006714853,0.00637,-0.004811476,0.00273,4.06E-05,7.45E-06,Exp,1,Gobiidae,Coryphopterus_glaucofraenum,carnivore,2.67,reef,LesserAntilles,Caribbean,present,180,26.68,mmSL,26.68
49,53,Obs - nat reefs,46,yes, Table 1 (and Fig. 2) give adult density dependence in gobies. Not early post-settlement.  Fig 5a is not appropriate b/c it's affect of adults on recruitment.,NO,yes,yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"FORRESTER, GE",STRONG DENSITY-DEPENDENT SURVIVAL AND RECRUITMENT REGULATE THE ABUNDANCE OF A CORAL-REEF FISH,OECOLOGIA,"Debate on the control of population dynamics in reef fishes has centred on whether patterns in abundance are determined by the supply of planktonic recruits, or by post-recruitment processes. Recruitment limitation implies little or no regulation of the reef-associated population, and is supported by several experimental studies that failed to detect density dependence. Previous manipulations of population density have, however, focused on juveniles, and there have been no tests for density-dependent interactions among adult reef fishes. I tested for population regulation in Coryphopterus glaucofraenum, a small, short-lived goby that is common in the Caribbean. Adult density was manipulated on artificial reefs and adults were also monitored on reefs where they varied in density naturally. Survival of adult gobies showed a strong inverse relationship with their initial density across a realistic range of densities. Individually marked gobies, however, grew at similar rates across all densities, suggesting that density-dependent survival was not associated with depressed growth, and so may result from predation or parasitism rather than from food shortage. Like adult survival, the accumulation of new recruits on reefs was also much lower at high adult densities than at low densities. Suppression of recruitment by adults may occur because adults cause either reduced larval settlement or reduced early post-settlement survival. In summary, this study has documented a previously unrecorded regulatory mechanism for reef fish populations (density-dependent adult mortality) and provided a particularly strong example of a well-established mechanism (density-dependent recruitment). In combination, these two compensatory mechanisms have the potential to strongly regulate the abundance of this species, and rule out the control of abundance by the supply of recruits.",133,134,AUG,1995,103,3,275,282,10.1007/BF00328615,15,Forrester (1995),18.46372558,-64.56933099,Oecologia,unpaired,53,DD,yes,-0.006741692,0.00274,-0.002996447,0.00108,7.51E-06,1.17E-06,Obs,1,Gobiidae,Coryphopterus_glaucofraenum,carnivore,2.67,reef,LesserAntilles,Caribbean,present,189,28.68,mmSL,28.68
192,54,main,49,yes,Fig. 5 and Fig.6 show recruitment survival as a function of post-settler density. Data will have to be converted.,yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Other_No_Counts,yes,"TUPPER, M; BOUTILIER, RG","EFFECTS OF CONSPECIFIC DENSITY ON SETTLEMENT, GROWTH AND POSTSETTLEMENT SURVIVAL OF A TEMPERATE REEF FISH",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"Settlement, growth and post-settlement mortality of the cunner (Tautogolabrus adspersus Walbaum) was investigated on isolated boulder reefs in St. Margaret's Bay, Nova Scotia. Populations of cunner on these reefs were subjected to experimental manipulations of adult and recruit population density. Settlement of cunner was unaffected by the density of prior resident adults. Elevation of adult densities to approximately twice natural levels resulted in complete mortality of newly settled fish, while removal of adults resulted in enhanced growth and recruitment success over natural populations. This clearly demonstrates that natural populations of cunner in St. Margaret's Bay are sufficiently high to result in density-dependent growth and post-settlement mortality. Growth and mortality of newly settled fish were also suppressed by high recruit densities and enhanced by low densities of conspecific recruits. On all study reefs, newly settled cunner formed social dominance hierarchies, and both growth rate and post-settlement survival were positively correlated with fish size. Recruitment success of species such as cunner, for which post-settlement mortality is size-dependent, may be strongly influenced by processes affecting growth rate.",49,49,29-Sep,1995,191,2,209,222,10.1016/0022-0981(95)00058-Y,16,Tupper and Boutilier 1995,44.5270295,-63.94921449,JEMBE,unpaired,54,DD,yes,NA,NA,NA,NA,NA,NA,Exp,,Labridae,Tautogolabrus_adspersus,planktivore,3.25,reef,NovaScotia,Atlantic,present,1,21,mmSL,21
163,250,Fig5,58,yes,Fig 5. Avergae daily per capita mortality of settlers as a function of average density of settlers.  The per capita mortaliyt was estimated each day as the number of fish lost/numbe present the day before. ,Yes,"No, but there are data on older fish effects on recruits",Yes,YES,"SINGLE.  They did this on a daily basis, so it's good.",1,Yes,Depleted,Other_No_Counts,yes,"Schmitt, RJ; Holbrook, SJ",Local-scale patterns of larval settlement in a planktivorous damselfish - Do they predict recruitment?,MARINE AND FRESHWATER RESEARCH,"The degree to which local-scale spatial variation in larval supply predicted subsequent patterns in juvenile densities was examined for a planktivorous damselfish (Dascyllus trimaculatus) at Moorea, French Polynesia. D. trimaculatus young settle from the plankton to sea anemones, where they remain until becoming free-ranging adults. Daily settlement onto anemones without fish was estimated at several sites in a lagoon for one 14-day period and compared with patterns in the density of juveniles that had accrued after 10 successive settlement periods. Spatial variation attributable to larval supply occurred mostly among individual anemones, between the halves of each study site, and among different locations in the lagoon. In contrast, there was relatively little variation at any spatial scale in the density of young after 10 settlement pulses. Several mechanisms were examined that could account for the observed reduction in spatial variance through time, and three involving interactions with young already present were implicated. First, settlement was not independent of residents (the density of young already on an anemone); compared with the absence of fish, settlement was facilitated at low and inhibited at high densities of residents. Second, older juveniles moved among local anemones, and the immigration and emigration rates per capita varied with density on an anemone. Finally, per capita mortality during the first few days after settlement was density-dependent. These findings emphasize the critical need to distinguish among effects that arise from the delivery of larvae, the availability of appropriate habitat, and interactions that affect fish at settlement and immediately thereafter.",75,75,,1996,47,2,449,463,10.1071/MF9960449,70,schmittholbrook-mfw-1996,-17.5,-149.8333333,MarineFreshwaterResearch,unpaired,250,DD,,NA,NA,NA,NA,NA,NA,Obs,3,Pomacentridae,Dascyllus_trimaculatus,planktivore,NA,reef,Moorea,Pacific,present,1,10,mmSL,10
59,64,cn,77,yes,"Fig 2, Fig 3, Fig 6.  the Key data on in Figure 3 (37d) and 5 (86 d).",Yes - fish in expt were 1-40 d old.,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"Steele, MA",Population regulation by post-settlement mortality in two temperate reef fishes,OECOLOGIA,"Input of individuals dispersing into open populations can be highly variable, yet the consequences of such variation for subsequent population densities are not well understood. I explored the influence of variable input (''supply'') on subsequent densities of juveniles and adults in open local populations of two temperate reef fishes, the bluebanded goby (Lythrypnus dalli) and the blackeye goby (Coryphopterus nicholsii). Variable recruitment was simulated by stocking a natural range of densities of young fishes on replicate patch reefs. Density and mortality of the stocked cohorts were followed over time, until the fishes reached maturity. Over the first day of the experiments, mortality of both species was significantly density-dependent; however, there was still a very strong relationship between density on day 1 and density on day 0 (i.e., simulated recruitment was still an excellent predictor of population density). At this point in the study, the main effects of density-dependent mortality were to reduce mean densities and variation about the mean. Over the;period from the start of the experiments until the time when maturity was reached by each species (about 1 and 3 months for Lythrypnus and Coryphopterus, respectively), mortality was strongly density-dependent. Such strong density-dependent mortality virtually eliminated any linear relationship between adult density and ''recruit'' density. However, for both species, the relationship between these two variables was well fit by an asymptotic curve, with the asymptotic density of adults equal to c. 3/m(2) for Coryphopterus, and c. 10/m(2) for Lythrypnus. Natural recruitment (via settlement of larvae) to the reefs over the period of the study (9 months) was above the asymptotic densities of adults for the two species, even though the study did not encompass the periods of peak annual recruitment of either species. This suggests that adult populations of these two gobies may often be limited, and regulated, by post-settlement processes, rather than by input of settlers. Other studies have shown that mortality of the two species is density-independent, or only weakly density-dependent, on reefs from which predators have been excluded. Hence, it appears that predators cause density-dependent mortality in these fishes.",63,63,,1997,112,1,64,74,10.1007/s004420050284,20,Steele 1997 - oecologia,33.44471889,-118.4855508,Oecologia,unpaired,64,DD,yes,0,0,-0.00229,0.000477,0,2.28E-07,Exp,,Gobiidae,Rhinogobiops_nicholsii,planktivore and carnivore,NA,reef,California,Pacific,present,20,27.5,mmSL,27.5
60,65,ld,77,yes,"Fig 2, Fig 3, Fig 6.  the Key data on in Figure 3 (37d) and 5 (86 d).",Yes - fish in expt were 1-40 d old.,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"Steele, MA",Population regulation by post-settlement mortality in two temperate reef fishes,OECOLOGIA,"Input of individuals dispersing into open populations can be highly variable, yet the consequences of such variation for subsequent population densities are not well understood. I explored the influence of variable input (''supply'') on subsequent densities of juveniles and adults in open local populations of two temperate reef fishes, the bluebanded goby (Lythrypnus dalli) and the blackeye goby (Coryphopterus nicholsii). Variable recruitment was simulated by stocking a natural range of densities of young fishes on replicate patch reefs. Density and mortality of the stocked cohorts were followed over time, until the fishes reached maturity. Over the first day of the experiments, mortality of both species was significantly density-dependent; however, there was still a very strong relationship between density on day 1 and density on day 0 (i.e., simulated recruitment was still an excellent predictor of population density). At this point in the study, the main effects of density-dependent mortality were to reduce mean densities and variation about the mean. Over the;period from the start of the experiments until the time when maturity was reached by each species (about 1 and 3 months for Lythrypnus and Coryphopterus, respectively), mortality was strongly density-dependent. Such strong density-dependent mortality virtually eliminated any linear relationship between adult density and ''recruit'' density. However, for both species, the relationship between these two variables was well fit by an asymptotic curve, with the asymptotic density of adults equal to c. 3/m(2) for Coryphopterus, and c. 10/m(2) for Lythrypnus. Natural recruitment (via settlement of larvae) to the reefs over the period of the study (9 months) was above the asymptotic densities of adults for the two species, even though the study did not encompass the periods of peak annual recruitment of either species. This suggests that adult populations of these two gobies may often be limited, and regulated, by post-settlement processes, rather than by input of settlers. Other studies have shown that mortality of the two species is density-independent, or only weakly density-dependent, on reefs from which predators have been excluded. Hence, it appears that predators cause density-dependent mortality in these fishes.",63,63,,1997,112,1,64,74,10.1007/s004420050284,20,Steele 1997 - oecologia,33.44471889,-118.4855508,Oecologia,unpaired,65,DD,yes,0,0,-0.002,0.000202,0,4.08E-08,Exp,,Gobiidae,Lythrypnus_dalli,planktivore,3.21,reef,California,Pacific,present,20,17.5,mmSL,17.5
56,61,Fig4-1992,85,yes,"Fig. 4A-C.  these fish live in sand patches, but breed by placing eggs under rocks.  Much like Coryphopterus.  We need to clarify what we included since these are ""reef"" associated, but likely at the margins of reefs -- vs. estuarine species.  Check that we converted K values approporiately.",Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"Sano, M",Temporal variation in density dependence: Recruitment and postrecruitment demography of a temperate zone sand goby,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"Spatial and temporal variation in the recruitment of many marine invertebrate and fish species is thought to strongly affect patterns in their demersal abundance. Variation in recruitment of the temperate zone annual goby Sagamia geneionema (Hilgendorf) over eight sand patches within a 1 ha area was investigated during 3 consecutive years (1992-1994). I evaluated the relative importance of recruitment and postrecruitment processes in determining adult density by monitoring the abundance, survival, and growth of juveniles in each patch. In 1992 and 1994, despite pronounced spatial variation in recruitment among sand patches, patterns of recruit abundance established at the end of the settlement season (mid-June or early July) were clearly modified through postrecruitment density-dependent mortality. Consequently, densities in mid-December, when all surviving fish become adults, were stabilized at a low level across patches. The period of mortality which contributed most to stabilizing adult densities was from mid-August to mid-September in both years. In contrast to 1992 and 1994, adult numbers in 1993 directly reflected variation in recruitment success across patches as a result of density-independent mortality, even though recruits were the most numerous in this year. Furthermore, no density-dependent growth was detected in either the juvenile or adult phase. These patterns indicate that, in 1993, recruitment was the major determinant of adult numbers, and competition for resources was unimportant. Thus, the results of this study suggest that both recruitment and postrecruitment processes can influence the demography of demersal populations, and their relative importance can vary from year to year. (C) 1997 Elsevier Science B.V.",26,26,1-Jul,1997,214,2-Jan,67,84,10.1016/S0022-0981(97)00019-1,19,Sano 1997,35.15,139.6166667,JEMBE,unpaired,61,DD,yes,0,0,-0.00944,0.000905,0,8.19E-07,Obs,,Gobiidae,Sagamia_geneionema,planktivore and carnivore,3.18,sand,Japan,Pacific,present,20,53,mmSL,53
57,62,Fig4-1993,85,yes,"Fig. 4A-C.  these fish live in sand patches, but breed by placing eggs under rocks.  Much like Coryphopterus.  We need to clarify what we included since these are ""reef"" associated, but likely at the margins of reefs -- vs. estuarine species.  Check that we converted K values approporiately.",Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"Sano, M",Temporal variation in density dependence: Recruitment and postrecruitment demography of a temperate zone sand goby,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,"Spatial and temporal variation in the recruitment of many marine invertebrate and fish species is thought to strongly affect patterns in their demersal abundance. Variation in recruitment of the temperate zone annual goby Sagamia geneionema (Hilgendorf) over eight sand patches within a 1 ha area was investigated during 3 consecutive years (1992-1994). I evaluated the relative importance of recruitment and postrecruitment processes in determining adult density by monitoring the abundance, survival, and growth of juveniles in each patch. In 1992 and 1994, despite pronounced spatial variation in recruitment among sand patches, patterns of recruit abundance established at the end of the settlement season (mid-June or early July) were clearly modified through postrecruitment density-dependent mortality. Consequently, densities in mid-December, when all surviving fish become adults, were stabilized at a low level across patches. The period of mortality which contributed most to stabilizing adult densities was from mid-August to mid-September in both years. In contrast to 1992 and 1994, adult numbers in 1993 directly reflected variation in recruitment success across patches as a result of density-independent mortality, even though recruits were the most numerous in this year. Furthermore, no density-dependent growth was detected in either the juvenile or adult phase. These patterns indicate that, in 1993, recruitment was the major determinant of adult numbers, and competition for resources was unimportant. Thus, the results of this study suggest that both recruitment and postrecruitment processes can influence the demography of demersal populations, and their relative importance can vary from year to year. (C) 1997 Elsevier Science B.V.",26,26,1-Jul,1997,214,2-Jan,67,84,10.1016/S0022-0981(97)00019-1,19,Sano 1997,35.15,139.6166667,JEMBE,unpaired,62,DI,yes,-0.00235,0.00046,0.000242,0.000372,2.12E-07,1.38E-07,Obs,,Gobiidae,Sagamia_geneionema,planktivore and carnivore,3.18,sand,Japan,Pacific,present,20,54,mmSL,54
