substudy_num,alpha_nls2,alpha_se_nls2,beta_hat,beta_variance_nls2,unnamed,substudy_source,Alex_PAPER_ID,use_alex_craig,data.source..or.reason.for.exclusion.,data.on.recruit.on.recruit,data.on.older.fish.on.older.fish,Density.areal.units..or.can.be.converted.,Data.set.original..YES.Use.them.or.not.checked..No.use.data.from.another.paper...,is.the.initial.number..taken.at.a.point.in.time..SINGLE..but.this.might.be.multiple.settlement.events...or.is.an.cumulative.number..e.g...sum.settlers..over.every.day.of.summer...if.CUMULATIVE...then.what.is.the.time.scale.of.the.summation.,Number.of.Aggregrated.taxa.,Is.good.based.on..criteria.,Fish.Depleted.or.were.Replaced...Or.do.we.take.Beta.directly.from.the.paper.,estimation_approach,use_2024,Authors,Article.Title,Source.Title,Abstract,Times.Cited..WoS.Core,Times.Cited..All.Databases,Publication.Date,Publication.Year,Volume,Issue,Start.Page,End.Page,DOI,study_num,study,lat_deci,long_deci,journal,paired_pred,paired_substudy_num,conclusion,rawdata_for_analysis,alpha_2002,alpha_se_2002,beta_2002,beta_se_2002,var_alpha_2002,var_beta_2002,expt_obs,expt_obs_pairs,family,g_sp,trophic_status,trophic_level,habitat,geog_region_2,ocean,predators,age_start,size_start,size_start_units,SL_start,duration,mean_density,median_density
1,1.66667e-4,6.180614856144977e-5,3.34e-6,3.49e-13,1,"from text, aquaculture paper",10016,no,Survival data not explicit,Yes,No,Yes,Yes,SINGLE,1,Yes - but its an Aquaculture study,Depleted,Binomial,yes,Chua and Teng,Relative Growth and production…,Marine Biology,,,,,1979,54,,363,372,,1,"Chua and Teng, 1979",5.4575642,100.3127919,Marine Biology and Aquaculture,unpaired,1,DD,yes,0,0,-5.4e-6,3.62e-7,0,1.31e-13,Exp,,Serranidae,Epinephelus_malabaricus,carnivore,,reef,TropPacific,Pacific,absent,30,125.04,mmSL,125.04,240,93.33333333,88.88888889
5,0.009090909,0.0032249030993194198,0.001242424,1.34e-6,5,"Fig 3b, large",10015,yes,"Fig3, large fish, 2 wks",No,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,,,,,1981,6,2,203,212,10.3354/meps006203,2,"Kneib, R.T. 1981",34.7,-76.7,MEPS,unpaired,5,DD,yes,-0.00556,0.00887,-0.0024,0.00277,7.87e-5,7.67e-6,Exp,,Fundulidae,Fundulus_heteroclitus,omnivore,3.59,estuary,North Carolina,Atlantic,absent,178.57,56,mmSL,56,14,2.3333333333333335,2
6,0.008490909,0.0023216373532487797,-5.48485e-4,5.15e-7,6,"Fig 3b, medium",10015,yes,"Fig3, medium fish, 2 wks",No,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,,,,,1981,6,2,203,212,10.3354/meps006203,2,"Kneib, R.T. 1981",34.7,-76.7,MEPS,unpaired,6,DI,yes,-0.00517,0.0102,-4.6e-4,0.00299,1.0404e-4,8.94e-6,Exp,,Fundulidae,Fundulus_heteroclitus,omnivore,3.59,estuary,North Carolina,Atlantic,absent,148.57,47.6,mmSL,47.6,14,2.3333333333333335,2
7,1e-15,,0.013672727,9.8e-6,7,"Fig 3b, small",10015,yes,"Fig3, small fish, 2 wks",No,Yes,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"KNEIB, RT","SIZE-SPECIFIC EFFECTS OF DENSITY ON THE GROWTH, FECUNDITY AND MORTALITY OF THE FISH FUNDULUS-HETEROCLITUS IN AN INTER-TIDAL SALT-MARSH",MARINE ECOLOGY PROGRESS SERIES,,,,,1981,6,2,203,212,10.3354/meps006203,2,"Kneib, R.T. 1981",34.7,-76.7,MEPS,unpaired,7,DD,yes,0,0,-0.0162,0.00356,0,1.27e-5,Exp,,Fundulidae,Fundulus_heteroclitus,omnivore,3.59,estuary,North Carolina,,absent,107.14,36,mmSL,36,14,2.3333333333333335,2
8,0.001707071,3.091924966748061e-4,3.11111e-4,1.85e-8,8,pw,10004,yes,"Fig1a,b (3 ttts) -- very hard to see in figure; or Fig 2a (but this is only for 1 spp); for Fig 1, what date should we use?",yes,no,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"DOHERTY, PJ","SOME EFFECTS OF DENSITY ON THE JUVENILES OF 2 SPECIES OF TROPICAL, TERRITORIAL DAMSELFISH",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,1982,65,3,249,261,10.1016/0022-0981(82)90057-0,3,Doherty 1982,-23.5,152.1,JEMBE,unpaired,8,DI,yes,-0.00214,0.00181,-1.4e-4,6.62e-4,3.28e-6,4.38e-7,Exp,,Pomacentridae,Pomacentrus_wardi,herbivore,2,reef,Australia,Pacific,present,21,17,mmSL,17,365,3.3333333333333335,3.333333333
9,0.002020202,1.5459624833740306e-4,0.039292929,1.24e-5,9,Fig 6,10008,yes,Fig6 (note that numbers are per 500m2),Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP","POPULATION ECOLOGY OF THE TEMPERATE REEF FISH PSEUDOLABRUS-CELIDOTUS BLOCH AND SCHNEIDER (PISCES, LABRIDAE) .2. FACTORS INFLUENCING ADULT DENSITY",JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,1984,75,3,277,303,10.1016/0022-0981(84)90170-9,4,"Jones, 1984II",-36.265522,174.79776,JEMBE,unpaired,9,DD,yes,-0.00293,4.7e-4,-0.0262,0.00474,2.21e-7,2.25e-5,Obs,,Labridae,Notolabrus_celidotus,carnivore,,reef,New Zealand,Pacific,present,183,50,mmSL,50,365,0.10374684107142856,0.024838862
10,9.72727e-4,1.8947295321496415e-4,-4.87e-6,1.7e-9,10,"Fig 3, with adults-small",10009,yes,Fig3 (3 juve densities x 2 adult densitis) over a year.,Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,,,,,1987,68,5,1534,1547,10.2307/1939237,5,Jones 1987 ecology,-23.5,152.1,Ecology,unpaired,10,DI,yes,-0.000943948,1.34e-4,-2.21e-7,2.2e-5,1.8e-8,4.84e-10,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,30,18.067,mmSL,18.067,365,4.519774011333333,4.519774011
11,4.64646e-4,2.215851980616034e-4,1.42167e-4,3.18e-9,11,"Fig 3, without adults-small",10009,yes,Fig3 (3 juve densities x 2 adult densitis) over a year.,Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,,,,,1987,68,5,1534,1547,10.2307/1939237,5,Jones 1987 ecology,-23.5,152.1,Ecology,unpaired,11,DI,yes,-0.000816395,7.59e-4,-5.46e-5,1.35e-4,5.76e-7,1.82e-8,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,30,18.3,mmSL,18.3,365,4.519774011333333,4.519774011
12,1e-15,,0.001090364,6.6e-8,12,"fig 6 ,without adults-large",10009,yes,Fig3 (3 juve densities x 2 adult densitis) over a year.,Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,,,,,1987,68,5,1534,1547,10.2307/1939237,5,Jones 1987 ecology,-23.5,152.1,Ecology,unpaired,12,DD,yes,-0.000582995,0.00244,-6.86547e-4,9.1e-4,5.95e-6,8.28e-7,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,365,38.43,mmSL,38.43,365,3.3898305083333335,3.389830508
13,0.003575758,3.4785054261852176e-4,-3.03364e-4,1.63e-8,13,"Fig 6, with adults-large",10009,yes,Fig3 (3 juve densities x 2 adult densitis) over a year.,Yes,No,Yes,YES,SINGLE,1,Yes,Depleted,Binomial,yes,"JONES, GP",COMPETITIVE INTERACTIONS AMONG ADULTS AND JUVENILES IN A CORAL-REEF FISH,ECOLOGY,,,,,1987,68,5,1534,1547,10.2307/1939237,5,Jones 1987 ecology,-23.5,152.1,Ecology,unpaired,13,DI,yes,-0.00424,0.00132,4.32e-4,3.23e-4,1.74e-6,1.04e-7,Exp,,Pomacentridae,Pomacentrus_amboinensis,planktivore,2.69,reef,Australia,Pacific,present,365,38.33,mmSL,38.33,365,3.3898305083333335,3.389830508
